    0.176634733064974000E+03    0.390451660513444665E+02    0.347669836891994766E-01    0.110469300642356494E+00    0.280265204287156450E+03   -0.310284396546770402E+01   -0.299055997962786478E+04
    0.161367773760703528E+03    0.354883057015698569E+02    0.301103531910637823E-01   -0.221419541453947488E+00    0.312532322692862010E+03   -0.444011785505203793E+01   -0.298770414440324748E+04
    0.171943018038507518E+03    0.390842511833080266E+02    0.343668389413848141E-01   -0.511910057943094632E-01    0.273727208514490655E+03   -0.496836498420788431E+01   -0.298703797290203420E+04
    0.164946076701148911E+03    0.456412341263568351E+02    0.752169611703794316E-01    0.375325414780306676E+00    0.185206775578498451E+03   -0.212305402491551121E+01   -0.298686603353623741E+04
    0.164622586445808025E+03    0.418211524998727384E+02    0.272973770547632090E-01   -0.254457734619442100E+00    0.338744914686036054E+03   -0.201215876938358296E+01   -0.298674426693570604E+04
    0.173627057939705765E+03    0.319150264875863314E+02    0.331848210133056931E-01    0.113746635291640530E+00    0.280401016014901813E+03   -0.256049961846342233E+01   -0.298662544148917823E+04
    0.172975524565696389E+03    0.338795184383415631E+02    0.318292722236998976E-01    0.758854287711732134E-01    0.301339723294749945E+03   -0.357687583865050396E+01   -0.298659705947561361E+04
    0.175732979610922172E+03    0.437033036289263634E+02    0.395005504587935471E-01    0.290644758762341748E-01    0.257130559532864083E+03   -0.239958310898162930E+01   -0.298649438652568870E+04
    0.172581362795888936E+03    0.387877721193302136E+02    0.402471574075924168E-01    0.100426316632803214E+00    0.272022662122868041E+03   -0.429631723619724415E+01   -0.298644477656970366E+04
    0.163344317398020735E+03    0.337368012624859972E+02    0.241314889167420152E-01   -0.328213475782546116E+00    0.362719669020230072E+03   -0.422693869168750158E+01   -0.298583455176429788E+04
    0.164207456990832895E+03    0.390288181692686749E+02    0.234545150411550746E-01   -0.331602491827762247E+00    0.370418080318960733E+03   -0.358179330764930803E+01   -0.298576974384432333E+04
    0.173427549681884642E+03    0.375853544350579227E+02    0.222850508417038254E-01   -0.469492929674534265E+00    0.390826547248476800E+03   -0.324032709911588679E+01   -0.298568078944073795E+04
    0.174536028974241503E+03    0.472148815393117616E+02    0.366535953661389774E-01   -0.271683203372480531E+00    0.281061307349196909E+03   -0.286522392172539808E+01   -0.298547636529222746E+04
    0.172911720265706577E+03    0.458271065588236297E+02    0.323367909672490073E-01   -0.218776648657647899E+00    0.327154110173641925E+03   -0.391963597627012383E+01   -0.298547482204043445E+04
    0.163613101159121726E+03    0.339880473457275798E+02    0.274326240667691658E-01   -0.120865590574859016E+00    0.324163035148294568E+03   -0.374543188469231403E+01   -0.298547057799971481E+04
    0.174509807439162159E+03    0.440276432410307450E+02    0.282526973603491917E-01   -0.254812573031200085E+00    0.345338645715500604E+03   -0.394862142709748154E+01   -0.298545759364298056E+04
    0.158398565439299659E+03    0.433406282896687856E+02    0.324316815122398308E-01   -0.222387538504897453E+00    0.310233569575107765E+03   -0.294578357904975041E+01   -0.298527225427207486E+04
    0.160740865157838670E+03    0.363189317731132775E+02    0.278172183305503522E-01   -0.180313797173311308E+00    0.329704196284630711E+03   -0.309980746262576634E+01   -0.298511751945047035E+04
    0.165056058958988302E+03    0.365755595522662844E+02    0.273697805920089104E-01   -0.386513582500356057E+00    0.332882388365870270E+03   -0.486923596920053381E+01   -0.298508702867662078E+04
    0.175205846414936673E+03    0.455126427970518819E+02    0.391210589842859099E-01   -0.164987179352469093E+00    0.277628954716452881E+03   -0.449731644424032595E+01   -0.298507113697240311E+04
    0.170639914716503341E+03    0.413042883231902636E+02    0.265529338572044853E-01   -0.205504971888843091E+00    0.346157455673751940E+03   -0.242696083955275732E+01   -0.298501914093176902E+04
    0.164051388079656562E+03    0.434966644563944271E+02    0.274699948378950010E-01   -0.302800844332981267E+00    0.371719680662054486E+03   -0.437383618688269848E+01   -0.298499816938797630E+04
    0.178650519308080078E+03    0.382150483733256578E+02    0.312770110584831354E-01   -0.167294332636805487E+00    0.319395408818603983E+03   -0.460943000046846407E+01   -0.298492543117159221E+04
    0.164406918407466577E+03    0.399880783168943594E+02    0.306829842838469286E-01   -0.211962442267910944E+00    0.331907451432143432E+03   -0.461594826622919818E+01   -0.298492495177602677E+04
